CT_GLDAS,RCP45_SSP2,RCP85_SSP2,RCP85_SSP3,GLOWASIS,Hoekstra,,,
1120767.875,11870,11870.25,10751.90455,0,,,,
18179792,9606832,9607500,9468327.273,0,363866.1772,,,
2114061.5,1250006,1250005.909,1213236.818,0,72437.93634,,,
1221155.125,55181,55180.93636,51878.4,784276.3066,82178.46004,,,
1764622.375,10775,10775.29091,9991.704545,0,10599.10256,,,
3537401.5,59066,59065.74545,54941.25,0,50861.50655,,,
904237.6875,5020,5019.887727,4697.995909,0,8079.200948,,,
527109.3125,16468,16468.39091,15417.72273,31623.07292,87620.56186,,,
21980916,790742,790741.6364,746649.2727,25160829.54,565662.0082,,,
555286.1875,65194,65194.21364,61583.16818,0,81173.37071,,,
2485948.5,287431,287430.8182,271206.4091,9152.349085,444306.7337,,,
2430846.25,44270,44269.62273,41036.67273,1531801.581,8633.856429,,,
484845.4688,25527,25527.12273,23368.60909,497237.6823,16299.02861,,,
321675.9375,18811,18811.32273,17089.60909,0,34456.65385,,,
1543.920898,1213,1213.112727,1111.615909,0,964.8447574,,,
1540.167603,1344,1344.095455,1244.307273,0,1606.730112,,,
8085.82959,8618,8617.674545,7892.334545,0,13678.77003,,,
1178650,55365,55364.59091,51137.00455,449232.7571,42113.6654,,,
38352.85156,410678,410677.9091,395370.8182,129126.0868,23519.17919,,,
3475822,823568,823034.8636,830424.9545,12968468.67,53149.73216,,,
1708399,980748,980747.7273,1003523.182,3052487.373,379737.1503,,,
43162992,3325608,3323001.818,3366796.364,569864.0943,91548347.16,,,
6328474,1876331,1871195.455,1870794.545,0,0,,,
824686.625,766592,766028.4545,764449.6364,3335003.614,1763717.871,,,
195507.125,210937,210937.3636,208605.4091,166311.3683,82587.31389,,,
3047368.25,1781058,1784608.636,1783673.182,0,20318.78558,,,
2222937.5,1108934,1111176.818,1110985.909,0,,,,
8482335,4039092,4044189.545,4043187.273,0,40807.19215,,,
31110894,11988423,12091513.64,12090081.82,129518.9112,746104.5494,,,
47704.27344,76419,76419,74823.85909,145968.7799,28244.21211,,,
59994.96094,34485,34485.05455,35313.02727,145041.7191,9055.740043,,,
5997.876953,5639,5638.891364,5541.709091,310622.7517,1865.525685,,,
23601.96289,70561,70623.38182,78311.38636,0,4803.207541,,,
113763.25,298064,298478.7273,283445.5909,225679.04,13048.65193,,,
152562.0469,792213,792565.7727,793153.7727,2358963.013,1189995.879,,,
3707142.25,4535322,4540915.909,4680527.727,432831.1682,364497.7716,,,
4605.515137,113994,113993.7273,144115.3636,0,10119.26866,,,
5530.19043,26028,26027.59091,27294.75,0,4721.134261,,,
230.0768127,1457,1457.008636,1450.565455,0,192.8893064,,,
4160.499023,45403,45402.57273,45608.75455,63171.193,4655.075489,,,
2250.055908,33482,33481.73182,33538.52727,0,2474.168769,,,
3052.619629,45422,45421.95,45458.31818,108942.5087,4007.501673,,,
1.196596146,312,311.8958182,312.1191818,0,0,,,
2994166.25,92912,92911.73182,92284.78636,345248.0435,446605.1802,,,
1426.107666,30332,30332.30455,30373.35,62336.0984,2257.368403,,,
144.0613708,1735,1735.039091,1724.138182,0,142.3398937,,,
14.05082798,208,208.1109545,206.3135455,0,46.56738575,,,
6276.425781,43147,43146.88636,42659.30455,114348.8735,7491.965494,,,
23720.44141,23831,23830.99091,23534.89091,102103.2259,8255.75727,,,
2009.261108,7447,7446.695455,7447.955455,0,1690.129537,,,
3617.559814,28375,28374.53182,28214.83636,36930.84419,2870.253806,,,
636.1633911,11939,11938.97727,11797.70455,31547.22974,630.8170805,,,
909.1047363,13544,13544.42727,13318.77273,0,1003.617347,,,
109.9400253,1879,1879.318636,1832.851364,0,139.8666698,,,
248.8185883,4093,4092.966818,3977.314091,0,298.2617029,,,
16.20910645,203,202.8781364,197.9125909,0,27.64940724,,,
1199.481201,11623,11622.64091,11375.60455,46773.27722,967.2121494,,,
295.9189453,1645,1645.111364,1619.500909,0,219.8672103,,,
18.36004257,207,207.4990909,204.4197273,0,,,,
1795.855835,13473,13473.02727,13274.38636,39007.41786,1605.809624,,,
87.02117157,667,667.4124545,664.8924545,0,125.9873835,,,
273.0588379,2392,2392.234091,2382.430909,0,378.0775121,,,
1480.534424,15090,15089.83636,14883.55909,0,1814.313485,,,
190.6478577,6542,6541.557273,6386.271818,28813.25036,265.6947809,,,
