BasinID,UT,CT,BA,BWS,WSV,SV,RO
33,5725614,996543.25,3943341.463,1.451970126,1.708652594,0.458421283,3982926.266
34,65171,8731.678711,1605364.386,0.040595768,1.38938724,0.234616993,1652844.462
35,104316,13995.74219,3121729.503,0.033416092,1.387121884,0.229607433,3214013.141
36,76212,10221.89844,3379302.56,0.022552583,1.763867317,0.281301351,3383474.403
37,2968297,1546466.375,35472177.76,0.083679582,0.716131584,0.240988911,36180303.27
38,77626112,14147214,7018132.5,11.06079317,0.639738129,0.225710591,7143323.369
39,12502950,2164339,15683728.22,0.797192468,0.642654882,0.243756948,15978915.89
40,13961060,2038512.375,6108642.693,2.285460241,0.567152964,0.206784171,6196272.642
41,125297880,94951400,18732031.76,6.688963675,0.802793714,0.237898899,18964471.05
42,669841,84904.08594,30361172.78,0.022062422,1.037485425,0.435175267,30866912.38
43,1414675,185375.7656,154462048.3,0.009158722,1.142089241,0.294638959,154488607.7
44,427267,56358.90625,84854113.61,0.005035313,0.623221029,0.375359598,84794797.59
45,392146,49653.71875,30727487.57,0.012762059,1.812179335,1.114363519,31485148.79
46,7610508,4506867,52978733.92,0.143652131,1.845510938,1.105152096,54283985.8
47,25348930,15549244,72763604.45,0.348373753,1.755069686,1.192669174,74608129.95
48,55500292,33202240,132415995.6,0.419135859,1.945912156,1.433032467,135936541.1
49,47977448,28298686,128917016.9,0.372157603,2.066125158,1.501453456,132380711.5
50,120883,15379.75293,65955854.33,0.001832787,1.910596357,1.165387354,67418707.75
51,197694,25142.05078,67312074.56,0.002936977,1.983999081,1.011614483,68774324.82
52,244418,40647.98047,43803814.79,0.005579834,1.988948399,1.007848626,44754502.59
53,578109,94326.125,102057506.8,0.005664542,1.827867497,0.950290376,104315426.2
54,40667,5356.614746,61685080.74,0.000659268,0.775654506,0.491223209,63006571.83
55,4786201,1328865.625,872991547.4,0.005482528,1.114928761,0.769015816,895247507.3
56,5035051,1897654.125,184330362.4,0.027315364,0.71057176,0.848942939,186931955.3
57,1330552,168523.9688,269637468.4,0.004934596,0.646104309,0.913640547,272861804.1
58,51619752,20971208,1277953799,0.040392502,1.207751608,0.799270941,1310540681
59,220946416,121661272,5232517748,0.042225641,0.632743898,0.87704419,5332421961
