,2010,2020,2030,2040
48,15615504.545454545,17023268.181818184,21573300.0,28711009.09090909
49,32699.672727272733,44190.013636363656,66709.84090909091,96683.04545454546
50,27900.218181818185,39075.177272727284,60161.372727272705,87779.04545454546
51,134734.0909090909,184774.22727272726,250592.04545454544,322497.95454545453
52,938570.1818181818,1248774.5454545454,1665643.6363636365,2116370.4545454546
53,5256.872727272726,6897.698181818184,9811.868181818185,12770.863636363636
54,19738186.363636363,20923159.09090909,23156509.09090909,25318745.454545453
55,1436438.1818181819,2360113.6363636362,3673300.909090909,5720085.0
56,348208.63636363635,689701.0909090909,1341585.0,2344153.6363636362
57,9577431.818181818,11415122.727272727,13688563.636363637,16520604.545454545
58,70781359.0909091,77684727.27272727,86407077.27272727,97688181.81818181
59,29753.18181818182,40005.38181818183,60066.109090909085,86920.6227272727
60,11602.5,16540.745454545457,25843.077272727274,36969.16363636363
61,457647.2727272727,620840.1818181818,827606.1818181818,1029000.0
62,36155.41363636363,56675.56363636363,94634.97272727269,140230.36363636365
63,4708114.090909091,5436995.454545454,6637737.2727272725,7987579.090909091
64,15872.27727272727,24212.904545454552,39709.37727272729,58302.39545454543
65,32945.56363636365,51396.83181818184,85552.28181818179,126575.59090909091
66,1701152.7272727273,1785525.0,2093967.2727272727,2420097.272727273
67,95860.22727272728,151145.5909090909,246576.27272727274,367822.63636363635
68,18552163.636363637,17384754.545454547,18386645.454545453,21733568.181818184
69,24439.036363636355,36097.75909090908,57987.96818181821,85483.65000000004
70,11329.21363636364,17513.713636363642,28973.70000000001,42732.61363636364
71,56313.21818181821,87082.80000000003,144107.72727272726,212562.95454545456
72,43698.04090909092,67603.58181818185,111902.31818181818,165086.72727272726
73,56156.2909090909,80516.38636363637,126588.95454545454,184813.36363636365
74,282636.13636363635,443620.2272727273,741286.6363636364,1098872.7272727273
75,99886.5,150263.5909090909,244317.81818181818,359854.0909090909
76,208485.13636363635,287921.45454545453,433525.9090909091,626422.3636363636
77,167366.18181818182,261303.0,436774.2272727273,674169.6818181818
78,162842.5909090909,252662.45454545456,420532.63636363635,649426.9090909091
79,25960.390909090896,41490.08181818183,70445.45454545454,109583.72727272728
80,29465.1,47395.2818181818,80424.55909090911,120148.63636363637
81,46905.31363636365,76187.14090909093,130072.09090909091,194891.45454545456
82,23094.463636363645,37112.63181818183,62942.05909090911,94001.91818181815
83,15399.39545454546,24222.450000000008,40531.90909090909,60127.77272727273
84,22549.513636363627,35578.10454545455,59652.122727272705,88571.03181818179
85,38590077.27272727,38057918.18181818,39721690.90909091,47063577.27272727
86,12573.940909090916,19400.18181818182,32059.45909090908,47251.7181818182
87,2001080.4545454546,2460617.727272727,3359379.5454545454,5048371.363636363
88,26227.090909090908,40825.71818181819,67857.30000000002,100310.31818181818
89,2882125.909090909,2816014.090909091,3484778.1818181816,4874529.545454546
90,50304.83181818184,80343.51818181816,135754.5,202339.77272727274
91,132680863.63636364,126498272.72727273,130304045.45454545,150533727.27272728
92,15813.286363636358,25126.21363636364,42319.39090909089,62979.47727272727
93,329367.8181818182,527478.9545454546,794133.1363636364,1095617.7272727273
94,719865.6818181818,1163104.0909090908,1832937.2727272727,2734906.3636363638
95,30102068.181818184,20929077.272727273,23016859.09090909,27911195.454545453
96,31877.522727272728,68040.47727272728,112339.5,178838.86363636365
97,26982.422727272726,48927.518181818195,78899.95909090912,121472.59090909091
98,42861.85909090911,54167.78181818179,74141.83636363634,92900.65909090909
99,476307.6818181818,831917.8636363636,1296110.4545454546,1943807.7272727273
100,734103.6818181818,793344.6818181818,835786.6363636364,866792.1818181818
101,5978585.454545454,15029127.272727273,17521445.454545453,20603004.545454547
102,208935.68181818182,428895.4090909091,834891.2727272727,1452923.1818181819
103,1607072.7272727273,3072720.0,6184633.636363637,11936781.818181818
104,1070885.4545454546,2023684.0909090908,4146240.0,8177295.0
105,334511.86363636365,455488.0909090909,668688.6818181818,956588.1818181818
106,10344027.272727273,12185727.272727273,14957345.454545455,18353331.818181816
107,16042.281818181824,22859.263636363627,35703.91363636363,51062.931818181816
108,614473.3636363636,709230.1363636364,855775.7727272727,1044855.0
109,2209553.1818181816,2977198.6363636362,4314545.454545454,6055855.909090909
110,3163516.3636363638,4170151.3636363638,5728723.636363637,7758793.636363637
111,63830.26363636366,113506.90909090909,178880.86363636365,272944.63636363635
112,1185908.1818181819,1927809.5454545454,3594216.8181818184,6455275.909090909
113,54195.65454545455,87541.45909090912,132307.63636363635,194249.04545454544
114,979268.1818181818,1053445.9090909092,1106251.3636363635,1140500.4545454546
115,6687135.0,9965072.727272727,15777300.0,23919572.727272727
116,24825.340909090908,31975.172727272733,44479.04999999998,56974.431818181816
117,223629.95454545456,347082.2727272727,536790.5454545454,817071.8181818182
118,112572.40909090909,243731.72727272726,474273.54545454547,833826.0
119,315397090.90909094,351040772.72727275,377635363.6363636,400264772.72727275
120,520865.86363636365,1018977.2727272727,1755370.9090909092,2876255.4545454546
121,623476.6363636364,1007322.2727272727,1700016.8181818181,2788580.4545454546
122,3734945.4545454546,4759888.636363637,6281892.2727272725,8645089.090909092
123,3868973.1818181816,6232351.363636363,6783248.181818182,7417095.0
124,10607195.454545455,11189563.636363637,11842281.818181818,12505595.454545455
125,47458950.0,48335986.36363637,50217586.36363637,50307409.09090909
126,99318.54545454546,161185.5,243122.72727272726,348112.2272727273
127,15761072.727272727,16706168.181818182,18436472.727272727,20051468.181818184
128,3829197.272727273,4206414.545454546,4657599.545454546,5269377.2727272725
129,4028725.909090909,5160635.454545454,6717107.7272727275,8853915.0
130,991839.5454545454,1203137.7272727273,1552071.8181818181,1982581.3636363635
131,54554563.63636363,57844213.63636363,63287795.45454545,70316781.81818181
132,645656.4545454546,1255723.6363636365,2409406.3636363638,4170227.727272727
133,10348895.454545455,19006240.90909091,32183454.545454547,53446718.18181818
134,605956.9090909091,1291566.8181818181,2693526.8181818184,4918524.545454546
135,855082.7727272727,1841060.4545454546,3848975.4545454546,7026304.090909091
136,955375.9090909091,1683760.9090909092,3155393.1818181816,5470595.454545454
137,636034.6363636364,894789.0,1181708.1818181819,1604629.0909090908
